Warehouse,Product_Category,Date,Order_Demand
Whse_S,Category_001,1/1/2015,7
Whse_S,Category_003,1/2/2015,72
Whse_S,Category_001,2/3/2015,1
Whse_S,Category_001,2/17/2015,1
Whse_S,Category_001,2/24/2015,1
Whse_S,Category_001,3/10/2015,3
Whse_S,Category_001,7/14/2015,2
Whse_S,Category_001,7/14/2015,5
Whse_S,Category_001,9/29/2015,5
Whse_S,Category_001,1/20/2015,2
Whse_S,Category_001,2/3/2015,2
Whse_S,Category_001,3/31/2015,4
Whse_S,Category_003,12/8/2015,200
Whse_S,Category_001,1/7/2015,62
Whse_S,Category_001,1/7/2015,88
Whse_S,Category_001,1/14/2015,15
Whse_S,Category_001,1/12/2015,40
Whse_S,Category_001,1/12/2015,2
Whse_S,Category_001,1/26/2015,9
Whse_S,Category_001,2/15/2015,10
Whse_S,Category_001,2/16/2015,20
Whse_S,Category_001,3/4/2015,70
Whse_S,Category_001,3/11/2015,20
Whse_S,Category_001,3/25/2015,80
Whse_S,Category_001,4/13/2015,30
Whse_S,Category_001,4/20/2015,20
Whse_S,Category_001,4/27/2015,4
Whse_S,Category_001,5/25/2015,13
Whse_S,Category_001,6/22/2015,10
Whse_S,Category_001,8/3/2015,2
Whse_S,Category_001,8/17/2015,15
Whse_S,Category_001,8/24/2015,40
Whse_S,Category_001,8/24/2015,17
Whse_S,Category_001,9/2/2015,10
Whse_S,Category_001,9/23/2015,40
Whse_S,Category_001,11/23/2015,72
Whse_S,Category_001,9/16/2015,18
Whse_S,Category_001,10/14/2015,20
Whse_S,Category_001,10/14/2015,8
Whse_S,Category_001,12/9/2015,60
Whse_S,Category_003,2/9/2015,40
Whse_S,Category_003,2/11/2015,60
Whse_S,Category_001,1/30/2015,100
Whse_S,Category_001,5/29/2015,60
Whse_S,Category_001,5/29/2015,40
Whse_S,Category_001,12/8/2015,100
Whse_S,Category_001,3/6/2015,12
Whse_S,Category_001,4/22/2015,25
Whse_S,Category_001,8/26/2015,30
Whse_S,Category_001,8/26/2015,6
Whse_S,Category_001,2/3/2015,3
Whse_S,Category_001,4/28/2015,5
Whse_S,Category_001,10/20/2015,3
Whse_S,Category_001,7/20/2015,135
Whse_S,Category_001,1/29/2015,50
Whse_S,Category_001,2/4/2015,102
Whse_S,Category_001,5/14/2015,60
Whse_S,Category_001,9/3/2015,196
Whse_S,Category_001,10/1/2015,4
Whse_S,Category_001,2/2/2015,150
Whse_S,Category_001,1/19/2015,10
Whse_S,Category_001,1/26/2015,10
Whse_S,Category_001,10/5/2015,2
Whse_S,Category_001,11/9/2015,1
Whse_S,Category_001,11/16/2015,5
Whse_S,Category_001,3/19/2015,4
Whse_S,Category_001,4/30/2015,4
Whse_S,Category_001,5/8/2015,3
Whse_S,Category_001,12/21/2015,4
Whse_S,Category_003,6/22/2015,108
Whse_S,Category_001,6/5/2015,30
Whse_S,Category_001,7/3/2015,3
Whse_S,Category_001,7/20/2015,7
Whse_S,Category_001,7/31/2015,10
Whse_S,Category_001,6/1/2015,1
Whse_S,Category_001,3/19/2015,4
Whse_S,Category_001,4/6/2015,1
Whse_S,Category_001,4/6/2015,3
Whse_S,Category_001,6/18/2015,5
Whse_S,Category_001,8/6/2015,5
Whse_S,Category_001,8/6/2015,5
Whse_S,Category_001,9/10/2015,5
Whse_S,Category_001,9/10/2015,5
Whse_S,Category_001,11/6/2015,15
Whse_S,Category_001,11/24/2015,10
Whse_S,Category_001,12/21/2015,10
Whse_S,Category_001,1/5/2015,10
